driverId,year,category
1,2023,1
4,2023,1
807,2023,2
815,2023,1
817,2023,2
822,2023,2
825,2023,3
830,2023,0
832,2023,1
839,2023,2
840,2023,2
842,2023,2
844,2023,1
846,2023,1
847,2023,2
848,2023,2
852,2023,2
855,2023,3
856,2023,3
857,2023,2
858,2023,3
844,2022,0
832,2022,1
1,2022,2
847,2022,1
825,2022,2
822,2022,2
839,2022,2
852,2022,2
4,2022,2
855,2022,3
854,2022,3
840,2022,2
848,2022,2
817,2022,3
846,2022,1
849,2022,3
807,2022,2
815,2022,1
840,2022,0
842,2022,2
20,2022,2
856,2022,2
1,2021,0
830,2021,0
822,2021,1
846,2021,1
815,2021,1
844,2021,1
817,2021,2
841,2021,3
853,2021,3
854,2021,3
822,2020,1
844,2020,2
846,2020,1
1,2020,0
850,2020,3
851,2020,3
830,2020,0
817,2020,1
8,2020,2
1,2019,0
830,2019,0
20,2019,1
844,2019,1
846,2019,2
848,2019,2
822,2019,1
3,2016,0
1,2016,0
830,2016,1