driverId,year,rank
830,2023,9.1
1,2023,7.8
846,2023,7.6
4,2023,7.5
848,2023,7.5
844,2023,7.4
847,2023,7.3
832,2023,7.2
857,2023,7.1
842,2023,6.8
830,2022,8.8
844,2022,8.2
847,2022,7.8
846,2022,7.8
1,2022,7.7
4,2022,7.7
815,2022,7.3
832,2022,7.3
839,2022,7.2
848,2022,7.0
830,2021,8.9
1,2021,8.4
846,2021,8.2
844,2021,7.9
842,2021,7.7
832,2021,7.7
4,2021,7.4
847,2021,7.3
839,2021,7.0
815,2021,6.7
830,2020,8.6
1,2020,8.3
842,2020,8.1
832,2020,8.0
817,2020,8.0
846,2020,7.9
844,2020,7.8
847,2020,7.5
815,2020,7.2
822,2020,7.2
1,2019,8.7
830,2019,8.7
832,2019,8.4
846,2019,8.1
844,2019,8.0
848,2019,7.9
822,2019,7.8
815,2019,7.6
817,2019,7.5
826,2019,7.4